Produto;Mês;Loja;Preço
Isolante 10;Abr;Centro;R$10,00
Segurança 2;Jun;Centro;R$40,00
Isolante 7;Dez;Centro;R$10,00
Segurança 2;Set;Centro;R$40,00
Isolante 10;Fev;Centro;R$10,00
Isolante 10;Abr;Centro;R$10,00
Isolante 10;Out;Centro;R$10,00
Isolante 7;Jun;Bairro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Jul;Centro;R$40,00
Isolante 9;Mar;Centro;R$10,00
Isolante 7;Ago;Bairro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Isolante 10;Abr;Centro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Set;Centro;R$40,00
Segurança 6;Fev;Bairro;R$40,00
Segurança 8;Mar;Centro;R$40,00
Isolante 7;Jul;Bairro;R$10,00
Isolante 10;Mai;Centro;R$10,00
Isolante 6;Out;Centro;R$10,00
Isolante 10;Abr;Centro;R$10,00
Segurança 8;Out;Centro;R$40,00
Adesivo 5;Out;Bairro;R$28,00
Isolante 4;Dez;Centro;R$10,00
Isolante 10;Set;Centro;R$10,00
Isolante 6;Out;Centro;R$10,00
Isolante 4;Set;Centro;R$10,00
Segurança 8;Jun;Centro;R$40,00
Isolante 10;Ago;Bairro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 6;Jul;Centro;R$40,00
Segurança 8;Fev;Bairro;R$40,00
Isolante 10;Mar;Bairro;R$10,00
Isolante 1;Set;Bairro;R$12,00
Isolante 10;Set;Bairro;R$10,00
Isolante 10;Jan;Bairro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Isolante 7;Jan;Bairro;R$10,00
Segurança 2;Jan;Centro;R$40,00
Isolante 10;Out;Centro;R$10,00
Isolante 10;Mai;Centro;R$10,00
Isolante 7;Jun;Bairro;R$10,00
Segurança 3;Ago;Bairro;R$40,00
Segurança 7;Mar;Centro;R$40,00
Segurança 1;Jun;Bairro;R$48,00
Isolante 7;Nov;Centro;R$10,00
Segurança 1;Mar;Bairro;R$48,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Isolante 7;Nov;Bairro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Isolante 1;Mai;Bairro;R$12,00
Adesivo 2;Out;Centro;R$28,00
Isolante 10;Mai;Centro;R$10,00
Isolante 7;Jul;Centro;R$10,00
Isolante 10;Mai;Bairro;R$10,00
Segurança 2;Fev;Centro;R$40,00
Isolante 1;Set;Bairro;R$12,00
Segurança 4;Jan;Centro;R$40,00
Segurança 7;Jun;Bairro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Isolante 2;Jan;Centro;R$10,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Segurança 8;Jul;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Isolante 10;Dez;Centro;R$10,00
Segurança 4;Mai;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Out;Centro;R$40,00
Segurança 8;Out;Bairro;R$40,00
Adesivo 7;Out;Bairro;R$28,00
Segurança 8;Set;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Segurança 3;Jul;Centro;R$40,00
Isolante 7;Ago;Bairro;R$10,00
Adesivo 2;Out;Centro;R$28,00
Isolante 10;Mar;Centro;R$10,00
Segurança 8;Out;Centro;R$40,00
Segurança 7;Nov;Centro;R$40,00
Segurança 8;Mar;Centro;R$40,00
Isolante 6;Dez;Centro;R$10,00
Segurança 10;Abr;Centro;R$40,00
Isolante 7;Dez;Bairro;R$10,00
Isolante 10;Mai;Bairro;R$10,00
Isolante 7;Dez;Bairro;R$10,00
Segurança 8;Set;Centro;R$40,00
Isolante 6;Jan;Bairro;R$10,00
Adesivo 5;Mar;Bairro;R$28,00
Isolante 2;Mai;Bairro;R$10,00
Isolante 10;Mar;Bairro;R$10,00
Isolante 6;Dez;Centro;R$10,00
Isolante 10;Mai;Centro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Isolante 6;Ago;Bairro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Isolante 10;Abr;Bairro;R$10,00
Isolante 6;Mai;Bairro;R$10,00
Isolante 10;Nov;Bairro;R$10,00
Isolante 7;Nov;Centro;R$10,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 7;Abr;Centro;R$40,00
Segurança 8;Jun;Centro;R$40,00
Isolante 10;Out;Centro;R$10,00
Isolante 1;Jul;Centro;R$12,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 8;Jul;Centro;R$40,00
Segurança 8;Mar;Centro;R$40,00
Segurança 8;Jun;Centro;R$40,00
Isolante 1;Dez;Bairro;R$12,00
Segurança 2;Jan;Centro;R$40,00
Segurança 8;Mar;Centro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Segurança 1;Out;Centro;R$48,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Segurança 6;Abr;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Isolante 7;Nov;Centro;R$10,00
Isolante 7;Jan;Bairro;R$10,00
Segurança 8;Set;Bairro;R$40,00
Segurança 2;Mai;Bairro;R$40,00
Segurança 7;Fev;Centro;R$40,00
Isolante 7;Fev;Bairro;R$10,00
Isolante 10;Fev;Centro;R$10,00
Segurança 2;Fev;Bairro;R$40,00
Adesivo 2;Fev;Bairro;R$28,00
Isolante 7;Set;Centro;R$10,00
Adesivo 5;Jan;Bairro;R$28,00
Adesivo 5;Abr;Bairro;R$28,00
Isolante 10;Jul;Bairro;R$10,00
Isolante 7;Mai;Bairro;R$10,00
Adesivo 5;Jul;Bairro;R$28,00
Isolante 5;Jun;Centro;R$10,00
Isolante 7;Dez;Centro;R$10,00
Isolante 6;Mar;Centro;R$10,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 1;Abr;Centro;R$48,00
Segurança 9;Jun;Bairro;R$40,00
Segurança 8;Set;Centro;R$40,00
Segurança 8;Set;Centro;R$40,00
Isolante 7;Jul;Bairro;R$10,00
Isolante 6;Mar;Bairro;R$10,00
Isolante 7;Set;Bairro;R$10,00
Isolante 6;Ago;Bairro;R$10,00
Segurança 7;Mai;Centro;R$40,00
Segurança 8;Out;Centro;R$40,00
Isolante 10;Mar;Bairro;R$10,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 5;Jun;Bairro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 6;Dez;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Adesivo 9;Out;Bairro;R$28,00
Segurança 8;Jul;Bairro;R$40,00
Adesivo 4;Jan;Bairro;R$28,00
Isolante 10;Fev;Centro;R$10,00
Segurança 8;Jun;Centro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 1;Nov;Bairro;R$48,00
Segurança 8;Fev;Centro;R$40,00
Segurança 2;Set;Centro;R$40,00
Segurança 2;Dez;Centro;R$40,00
Isolante 10;Jul;Centro;R$10,00
Isolante 8;Out;Bairro;R$10,00
Isolante 10;Fev;Bairro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Segurança 1;Out;Centro;R$48,00
Segurança 8;Jul;Bairro;R$40,00
Adesivo 3;Fev;Bairro;R$28,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 5;Mai;Bairro;R$10,00
Segurança 3;Mai;Bairro;R$40,00
Segurança 1;Nov;Bairro;R$48,00
Isolante 10;Nov;Centro;R$10,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Segurança 1;Mar;Bairro;R$48,00
Segurança 8;Jun;Bairro;R$40,00
Isolante 7;Jul;Bairro;R$10,00
Segurança 8;Jan;Bairro;R$40,00
Isolante 4;Mai;Bairro;R$10,00
Segurança 1;Nov;Centro;R$48,00
Segurança 8;Fev;Centro;R$40,00
Isolante 7;Jan;Bairro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Segurança 2;Fev;Bairro;R$40,00
Isolante 10;Jun;Centro;R$10,00
Segurança 7;Set;Centro;R$40,00
Segurança 2;Jan;Bairro;R$40,00
Isolante 10;Mar;Centro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Segurança 7;Nov;Bairro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Adesivo 9;Ago;Centro;R$28,00
Segurança 6;Fev;Bairro;R$40,00
Isolante 10;Abr;Centro;R$10,00
Adesivo 10;Dez;Bairro;R$28,00
Segurança 8;Fev;Centro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Isolante 10;Nov;Centro;R$10,00
Segurança 8;Nov;Bairro;R$40,00
Isolante 10;Fev;Bairro;R$10,00
Adesivo 5;Abr;Bairro;R$28,00
Segurança 8;Mai;Centro;R$40,00
Adesivo 8;Out;Bairro;R$28,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 3;Ago;Centro;R$10,00
Segurança 8;Set;Centro;R$40,00
Isolante 10;Nov;Centro;R$10,00
Adesivo 4;Nov;Centro;R$28,00
Segurança 8;Jun;Centro;R$40,00
Isolante 1;Ago;Bairro;R$12,00
Segurança 8;Nov;Centro;R$40,00
Isolante 10;Set;Centro;R$10,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 1;Jan;Centro;R$48,00
Isolante 5;Nov;Bairro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 7;Dez;Centro;R$40,00
Segurança 2;Mar;Bairro;R$40,00
Segurança 1;Jul;Centro;R$48,00
Isolante 10;Jun;Centro;R$10,00
Segurança 6;Mar;Centro;R$40,00
Segurança 10;Dez;Centro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Segurança 9;Nov;Bairro;R$40,00
Adesivo 9;Out;Bairro;R$28,00
Adesivo 5;Fev;Centro;R$28,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 2;Abr;Centro;R$10,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 7;Set;Bairro;R$40,00
Adesivo 5;Set;Bairro;R$28,00
Segurança 8;Jan;Bairro;R$40,00
Adesivo 10;Fev;Bairro;R$28,00
Segurança 6;Dez;Bairro;R$40,00
Isolante 10;Nov;Centro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Isolante 10;Set;Bairro;R$10,00
Isolante 7;Nov;Bairro;R$10,00
Segurança 1;Ago;Bairro;R$48,00
Segurança 8;Set;Bairro;R$40,00
Isolante 10;Jan;Bairro;R$10,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 1;Mar;Centro;R$48,00
Adesivo 7;Jun;Centro;R$28,00
Segurança 8;Nov;Centro;R$40,00
Segurança 2;Nov;Bairro;R$40,00
Isolante 7;Jun;Centro;R$10,00
Isolante 1;Out;Centro;R$12,00
Segurança 8;Jul;Centro;R$40,00
Isolante 7;Out;Centro;R$10,00
Segurança 8;Set;Bairro;R$40,00
Isolante 10;Ago;Bairro;R$10,00
Isolante 10;Nov;Bairro;R$10,00
Segurança 10;Fev;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Isolante 10;Ago;Bairro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Segurança 7;Set;Centro;R$40,00
Segurança 3;Mai;Bairro;R$40,00
Segurança 2;Jun;Bairro;R$40,00
Segurança 8;Set;Centro;R$40,00
Isolante 1;Ago;Centro;R$12,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 7;Out;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Isolante 1;Mar;Centro;R$12,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 7;Jul;Bairro;R$10,00
Isolante 6;Out;Centro;R$10,00
Isolante 6;Mar;Centro;R$10,00
Isolante 7;Nov;Bairro;R$10,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 10;Jan;Bairro;R$10,00
Segurança 7;Fev;Bairro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 7;Abr;Centro;R$40,00
Segurança 8;Fev;Centro;R$40,00
Isolante 7;Set;Bairro;R$10,00
Isolante 7;Ago;Centro;R$10,00
Segurança 8;Out;Bairro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Isolante 7;Ago;Centro;R$10,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 5;Fev;Centro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Isolante 10;Fev;Centro;R$10,00
Isolante 10;Mai;Bairro;R$10,00
Segurança 2;Dez;Bairro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Isolante 7;Jan;Centro;R$10,00
Isolante 10;Jan;Centro;R$10,00
Adesivo 3;Mar;Centro;R$28,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Out;Centro;R$40,00
Segurança 6;Dez;Centro;R$40,00
Isolante 10;Jan;Bairro;R$10,00
Isolante 4;Ago;Centro;R$10,00
Isolante 6;Dez;Centro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Segurança 5;Jul;Bairro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Adesivo 4;Jan;Centro;R$28,00
Segurança 2;Nov;Centro;R$40,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 2;Out;Centro;R$40,00
Isolante 9;Mar;Bairro;R$10,00
Isolante 7;Jul;Centro;R$10,00
Segurança 8;Set;Bairro;R$40,00
Isolante 7;Nov;Centro;R$10,00
Segurança 8;Out;Centro;R$40,00
Segurança 2;Out;Bairro;R$40,00
Isolante 10;Abr;Bairro;R$10,00
Isolante 10;Set;Centro;R$10,00
Segurança 2;Jan;Centro;R$40,00
Isolante 10;Jan;Bairro;R$10,00
Segurança 8;Ago;Bairro;R$40,00
Isolante 3;Jul;Bairro;R$10,00
Segurança 1;Out;Bairro;R$48,00
Adesivo 9;Out;Bairro;R$28,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 10;Abr;Centro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 8;Set;Centro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Isolante 2;Mai;Bairro;R$10,00
Segurança 1;Abr;Bairro;R$48,00
Segurança 6;Set;Centro;R$40,00
Isolante 7;Dez;Centro;R$10,00
Isolante 1;Jul;Centro;R$12,00
Segurança 7;Dez;Bairro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Isolante 7;Jul;Centro;R$10,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 8;Out;Bairro;R$40,00
Isolante 10;Out;Centro;R$10,00
Segurança 6;Jul;Bairro;R$40,00
Segurança 2;Jul;Bairro;R$40,00
Isolante 7;Dez;Centro;R$10,00
Isolante 7;Nov;Centro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Segurança 2;Dez;Centro;R$40,00
Segurança 2;Mar;Centro;R$40,00
Isolante 10;Mar;Bairro;R$10,00
Segurança 4;Out;Centro;R$40,00
Adesivo 4;Out;Bairro;R$28,00
Segurança 1;Jun;Centro;R$48,00
Adesivo 4;Nov;Bairro;R$28,00
Segurança 8;Jan;Centro;R$40,00
Adesivo 4;Jun;Centro;R$28,00
Segurança 8;Fev;Bairro;R$40,00
Adesivo 5;Mai;Bairro;R$28,00
Isolante 10;Dez;Centro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Isolante 10;Jul;Bairro;R$10,00
Segurança 7;Abr;Bairro;R$40,00
Adesivo 3;Mai;Centro;R$28,00
Isolante 10;Jun;Bairro;R$10,00
Isolante 10;Mai;Bairro;R$10,00
Segurança 8;Nov;Bairro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 8;Fev;Centro;R$40,00
Isolante 8;Set;Bairro;R$10,00
Isolante 9;Set;Centro;R$10,00
Segurança 8;Nov;Bairro;R$40,00
Isolante 7;Jun;Bairro;R$10,00
Adesivo 5;Jun;Centro;R$28,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 7;Jul;Centro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Adesivo 5;Abr;Centro;R$28,00
Segurança 2;Nov;Bairro;R$40,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 8;Set;Centro;R$40,00
Isolante 10;Jan;Centro;R$10,00
Adesivo 10;Abr;Bairro;R$28,00
Adesivo 8;Dez;Bairro;R$28,00
Isolante 7;Set;Centro;R$10,00
Isolante 4;Mar;Centro;R$10,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 7;Ago;Centro;R$40,00
Isolante 10;Nov;Bairro;R$10,00
Isolante 7;Nov;Bairro;R$10,00
Segurança 8;Mai;Centro;R$40,00
Isolante 7;Dez;Centro;R$10,00
Isolante 7;Jul;Centro;R$10,00
Isolante 10;Set;Centro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Isolante 10;Nov;Centro;R$10,00
Segurança 10;Abr;Centro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Isolante 5;Abr;Bairro;R$10,00
Segurança 2;Dez;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Adesivo 1;Set;Bairro;R$32,00
Segurança 8;Jan;Bairro;R$40,00
Isolante 1;Nov;Bairro;R$12,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Segurança 5;Jul;Centro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 2;Jun;Bairro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Isolante 7;Out;Bairro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Adesivo 7;Jul;Bairro;R$28,00
Segurança 8;Jun;Centro;R$40,00
Segurança 8;Jul;Centro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 8;Fev;Centro;R$40,00
Isolante 7;Abr;Bairro;R$10,00
Isolante 1;Mai;Centro;R$12,00
Segurança 8;Jan;Bairro;R$40,00
Isolante 7;Jan;Centro;R$10,00
Segurança 9;Nov;Bairro;R$40,00
Segurança 1;Fev;Bairro;R$48,00
Isolante 9;Out;Bairro;R$10,00
Isolante 10;Set;Bairro;R$10,00
Isolante 7;Out;Centro;R$10,00
Segurança 2;Jun;Bairro;R$40,00
Adesivo 10;Out;Bairro;R$28,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 1;Jan;Centro;R$48,00
Segurança 8;Dez;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Ago;Bairro;R$40,00
Isolante 1;Nov;Centro;R$12,00
Isolante 10;Jul;Centro;R$10,00
Isolante 10;Fev;Centro;R$10,00
Isolante 4;Jun;Centro;R$10,00
Segurança 8;Nov;Bairro;R$40,00
Segurança 10;Set;Centro;R$40,00
Isolante 10;Jul;Bairro;R$10,00
Segurança 7;Jul;Centro;R$40,00
Segurança 1;Dez;Centro;R$48,00
Isolante 10;Nov;Centro;R$10,00
Segurança 8;Ago;Centro;R$40,00
Adesivo 3;Jul;Bairro;R$28,00
Segurança 8;Jun;Centro;R$40,00
Adesivo 10;Nov;Centro;R$28,00
Isolante 7;Nov;Centro;R$10,00
Segurança 3;Nov;Centro;R$40,00
Isolante 7;Ago;Centro;R$10,00
Segurança 1;Out;Centro;R$48,00
Isolante 7;Set;Centro;R$10,00
Adesivo 4;Dez;Centro;R$28,00
Segurança 8;Out;Bairro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Set;Centro;R$40,00
Isolante 1;Fev;Centro;R$12,00
Segurança 7;Fev;Bairro;R$40,00
Adesivo 7;Jun;Centro;R$28,00
Segurança 2;Jan;Bairro;R$40,00
Isolante 10;Nov;Bairro;R$10,00
Segurança 1;Mar;Bairro;R$48,00
Segurança 8;Jul;Bairro;R$40,00
Isolante 2;Set;Centro;R$10,00
Segurança 8;Jan;Bairro;R$40,00
Isolante 2;Nov;Bairro;R$10,00
Segurança 7;Jun;Centro;R$40,00
Adesivo 5;Out;Bairro;R$28,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 2;Dez;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 6;Mai;Centro;R$10,00
Segurança 5;Fev;Bairro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Isolante 7;Abr;Centro;R$10,00
Isolante 10;Mai;Centro;R$10,00
Adesivo 7;Mar;Bairro;R$28,00
Segurança 8;Fev;Centro;R$40,00
Segurança 3;Jan;Bairro;R$40,00
Segurança 8;Mai;Bairro;R$40,00
Isolante 2;Jan;Bairro;R$10,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Jun;Centro;R$40,00
Isolante 10;Nov;Bairro;R$10,00
Isolante 3;Jun;Bairro;R$10,00
Isolante 6;Mar;Centro;R$10,00
Segurança 4;Set;Centro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 8;Fev;Centro;R$40,00
Isolante 10;Jun;Bairro;R$10,00
Isolante 10;Fev;Centro;R$10,00
Segurança 8;Fev;Centro;R$40,00
Segurança 2;Set;Bairro;R$40,00
Isolante 10;Mai;Centro;R$10,00
Segurança 8;Out;Bairro;R$40,00
Adesivo 7;Ago;Bairro;R$28,00
Isolante 10;Mai;Bairro;R$10,00
Isolante 10;Mar;Centro;R$10,00
Segurança 8;Mai;Centro;R$40,00
Adesivo 2;Mai;Bairro;R$28,00
Segurança 2;Jul;Bairro;R$40,00
Adesivo 10;Fev;Centro;R$28,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 4;Set;Centro;R$40,00
Segurança 8;Set;Centro;R$40,00
Segurança 7;Dez;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Ago;Bairro;R$40,00
Segurança 1;Ago;Bairro;R$48,00
Segurança 8;Mai;Centro;R$40,00
Isolante 7;Mai;Centro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Isolante 10;Abr;Bairro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Segurança 2;Ago;Bairro;R$40,00
Adesivo 4;Mai;Bairro;R$28,00
Segurança 8;Jan;Centro;R$40,00
Isolante 10;Dez;Centro;R$10,00
Isolante 8;Out;Bairro;R$10,00
Isolante 10;Mar;Centro;R$10,00
Isolante 7;Dez;Centro;R$10,00
Isolante 7;Jun;Bairro;R$10,00
Segurança 3;Set;Centro;R$40,00
Isolante 7;Jul;Bairro;R$10,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 1;Set;Bairro;R$12,00
Segurança 2;Fev;Bairro;R$40,00
Segurança 8;Mar;Centro;R$40,00
